Count of Crm Cd,Column Labels,,,,,,,,,,,
Row Labels,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",BURGLARY,"MANSLAUGHTER, NEGLIGENT","RAPE, ATTEMPTED","RAPE, FORCIBLE",ROBBERY,THEFT FROM MOTOR VEHICLE - ATTEMPT,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),THEFT FROM PERSON - ATTEMPT,"THEFT, PERSON",Grand Total
6037291210,,1,,,,,,,,,,1
6037291220,1,1,,,,,,,1,,,3
6037291300,2,5,,,1,3,1,5,8,,,25
6037292000,9,21,,1,,9,1,5,12,,1,59
6037293201,2,8,,,,3,1,,9,,1,24
6037293202,5,6,,,,1,,2,1,,1,16
6037293307,,2,,,,,,,,,,2
6037294110,1,,,,,,,1,,,,2
6037294120,,,,,,1,,,1,,,2
6037294410,1,,,,1,5,1,3,7,,,18
6037294421,28,28,,,4,15,1,6,25,1,1,109
6037294510,9,25,,,,7,,2,8,,1,52
6037294520,7,11,,,1,5,,1,1,,,26
6037294610,10,17,,,,1,,5,4,,,37
6037294620,8,5,,,2,4,,1,,,1,21
6037294701,4,13,,,,2,1,2,9,,,31
6037294810,1,3,,,,1,,,1,,,6
6037294820,24,26,,,5,12,,1,15,,2,85
6037294830,46,22,,1,3,34,,6,26,,4,142
6037294900,53,38,,1,6,29,,4,22,,9,162
6037295103,,2,,,,,,,,,,2
6037296220,1,4,,,,2,,3,2,,,12
6037296300,,11,,,,1,,,9,,,21
6037296401,,2,,,,,,2,1,,,5
6037296402,,3,,,,,,,3,,,6
6037296500,6,14,,,2,5,1,9,15,,,52
6037296600,4,7,,,,7,,,5,,,23
6037297000,,3,,,1,2,1,,4,,,11
6037297110,33,26,,,1,39,1,7,34,,2,143
6037297120,18,23,,,2,22,1,3,23,1,2,95
6037297201,21,26,,,4,7,2,,19,,2,81
6037297202,13,40,,,,15,2,6,18,,3,97
6037297300,,3,,,,1,,,5,,,9
6037297400,1,10,,,,3,1,3,4,,,22
6037297500,1,9,,,,1,,3,6,,,20
6037297602,32,53,,,3,21,,14,53,,1,177
6037300902,,,,,,,,,1,,,1
6037301602,1,1,,,,1,,2,4,,,9
6037301702,1,,,,,,,,,,,1
6037302102,1,10,,,1,,,6,6,,,24
6037302103,,4,,,,,,,,,,4
6037302104,1,7,,,,4,,2,6,,,20
6037302301,,,,,,,,,1,,,1
6037302302,6,5,,,,,,2,1,,,14
6037302401,5,4,,,,4,,3,5,,,21
6037302505,4,2,,,,1,,,3,1,,11
6037302506,9,5,,,2,3,,2,12,,1,34
6037310400,,1,,,,,,1,2,,,4
6037311100,4,8,,,1,2,,1,6,,1,23
6037311200,5,7,,,2,5,,1,6,,,26
6037311400,1,10,,,,,,5,7,,,23
6037311600,1,,,,,,,,,,,1
6037311700,,,,,,,,,1,,,1
6037320000,2,28,,,1,5,,8,17,,1,62
6037320100,13,15,,,,4,1,2,12,,,47
6037320201,,3,,,,,,,1,,,4
6037320202,6,3,,,,3,,,2,,,14
6037320300,14,14,,1,1,9,,3,9,,1,52
6037463800,1,1,,,,1,,2,2,,,7
6037480702,1,1,,,,,,2,4,,,8
6037480703,,1,,,,1,,1,3,,,6
6037480803,3,12,,,,2,,,5,,,22
6037481901,2,1,,,,2,,2,,,,7
6037530700,6,10,,,2,7,,1,17,,,43
6037530801,16,5,,,1,4,,,10,,1,37
6037530901,9,2,,,1,4,1,,7,,,24
6037531101,12,14,,,2,5,,3,10,,2,48
6037531201,4,1,,,,1,,,6,,,12
6037531202,11,6,,,,6,,1,15,,,39
6037531302,3,,,,,,,,2,,1,6
6037532700,4,4,,,,5,,,1,1,1,16
6037532800,47,14,,,2,48,1,5,27,,7,151
6037532900,2,1,,,,,,,2,,1,6
6037533001,1,,,,,1,,2,2,,,6
6037535001,40,20,,,3,29,,3,27,,2,124
6037535002,2,,,,,2,,,,,1,5
6037535101,2,,,,,,,,1,,,3
6037535102,4,2,,,1,3,,3,5,,,18
6037535200,85,81,,,5,82,1,7,41,,17,319
6037535300,2,1,,,,2,,,1,,2,8
6037535400,43,27,,,,20,,2,14,,3,109
6037535606,16,15,,,1,4,,1,5,,1,43
6037535607,,,,,,1,,,1,,,2
6037540300,1,,,,,,,,,,,1
6037540400,11,14,,,3,5,,3,6,,2,44
6037540600,19,5,,,,9,,1,11,,1,46
6037540700,61,30,,,9,89,2,1,20,,14,226
