"","Row Labels","Count of PARK_NAME","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","BURGLARY","MANSLAUGHTER, NEGLIGENT","RAPE, ATTEMPTED","RAPE, FORCIBLE","ROBBERY","THEFT FROM MOTOR VEHICLE - ATTEMPT","THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","THEFT FROM PERSON - ATTEMPT","THEFT, PERSON","Grand Total","Total population","Median Income","Pools","Gym","Restroom"
"129",6037183702,1,4,1,0,0,0,0,0,1,3,0,0,9,3022,"52077",0,0,1
"130",6037183820,1,30,26,0,1,4,11,1,5,20,0,2,100,4049,"29401",1,1,0
"131",6037185202,2,0,2,0,0,0,0,0,0,1,0,0,3,3988,"67782",0,0,0
"132",6037185310,2,0,1,0,0,0,0,0,0,2,0,0,3,3179,"43088",0,0,0
"133",6037185320,1,7,2,0,0,0,0,0,0,3,0,0,12,3075,"37500",0,0,0
"134",6037186203,6,17,43,0,0,4,14,2,12,25,0,1,118,2791,"70288",0,0,1
"135",6037186404,2,17,15,0,0,3,3,0,4,7,0,0,49,2639,"45319",1,1,1
"136",6037187200,4,17,34,0,0,1,5,0,4,16,0,1,78,2879,"45066",0,0,1
"137",6037187300,2,4,8,0,0,0,0,0,2,12,0,0,26,3325,"91528",0,0,1
"138",6037188100,1,1,0,0,0,0,0,0,0,0,0,0,1,3795,"57589",0,0,1
"139",6037188300,2,3,6,0,0,0,4,0,1,11,0,0,25,3527,"84250",0,0,0
"140",6037189400,2,1,9,0,0,1,0,0,1,1,0,0,13,3449,"105361",0,0,0
"141",6037189600,2,2,3,0,0,1,0,0,3,3,0,0,12,3549,"67127",0,0,0
"142",6037189701,3,2,7,0,0,1,1,0,3,1,0,0,15,3783,"82176",0,0,0
"143",6037189702,7,0,1,0,0,0,0,0,1,2,0,0,4,2088,"71958",0,0,2
"144",6037190202,2,0,7,0,0,1,2,0,0,4,0,0,14,3161,"30982",0,0,8
"145",6037190700,2,14,22,0,0,3,18,0,10,19,0,5,91,3292,"31202",0,0,0
"146",6037190802,1,51,36,0,1,9,48,0,9,27,0,27,208,2705,"31156",0,0,1
"147",6037191000,3,73,68,0,1,15,88,0,26,49,0,18,338,4078,"39760",0,0,0
"148",6037191302,1,6,9,0,0,2,3,0,4,9,0,1,34,2390,"38088",0,0,0
"149",6037191720,3,47,25,0,0,5,39,1,6,35,0,5,163,3669,"23125",0,0,0
"150",6037191901,2,48,42,0,1,8,69,0,11,27,0,17,223,3321,"52554",0,0,0
"151",6037191902,1,8,11,0,2,0,15,1,9,12,0,0,58,2805,"90329",1,0,0
"152",6037192620,1,4,6,0,0,0,5,1,0,2,0,0,18,3632,"31571",0,0,0
"153",6037194101,5,1,18,0,0,1,2,0,6,9,0,1,38,3166,"80906",0,0,0
"154",6037194102,9,3,22,0,0,1,2,0,8,7,0,1,44,3678,"128875",0,0,0
"155",6037194200,5,2,18,0,0,1,5,0,9,3,0,1,39,3659,"120000",0,0,0
"156",6037194300,6,0,5,0,0,0,4,1,0,0,0,0,10,3715,"186422",0,0,0
"157",6037195100,1,0,6,0,0,0,0,0,8,11,0,1,26,4963,"135011",0,0,0
"158",6037195400,1,2,21,0,0,0,2,1,13,13,0,2,54,4543,"86900",0,0,0
"159",6037195901,1,24,16,0,0,1,28,0,4,17,0,3,93,2306,"51899",0,0,0
"160",6037195903,3,22,35,0,1,1,18,0,19,46,0,3,145,2345,"45850",0,0,1
"161",6037197200,1,13,8,0,0,1,7,0,5,8,0,1,43,3873,"53611",0,0,0
"162",6037197410,1,7,26,0,0,0,2,0,9,10,0,0,54,4332,"92132",0,1,0
"163",6037197420,2,21,40,0,0,1,10,0,19,26,0,1,118,3506,"45893",0,0,1
"164",6037197700,1,10,3,0,0,0,2,0,1,6,0,0,22,4978,"31110",0,0,0
"165",6037199000,5,20,15,0,0,0,16,1,2,10,0,2,66,5770,"44215",0,1,1
"166",6037199201,2,1,1,0,0,1,5,0,0,6,0,0,14,4032,"33517",0,0,0
"167",6037199300,1,4,12,0,0,1,3,0,4,8,0,0,32,3459,"52857",0,0,1
"168",6037199400,9,44,43,0,1,3,15,0,12,48,0,2,168,4385,"38244",0,0,0
"169",6037199800,3,36,18,0,0,3,18,0,8,26,0,0,109,4958,"27452",0,0,0
"170",6037199900,1,38,7,0,0,0,19,1,5,30,0,4,104,2642,"32019",0,0,1
"171",6037201301,2,4,4,0,0,1,2,0,0,1,0,0,12,3668,"42878",0,0,4
"172",6037201302,3,9,11,0,0,0,4,0,2,26,0,0,52,4016,"66316",0,0,1
"173",6037201401,1,23,18,0,0,2,5,0,3,12,0,1,64,5079,"42635",0,0,0
"174",6037201402,1,2,6,0,0,1,1,0,0,5,0,0,15,4749,"55000",0,0,1
"175",6037201601,1,6,5,0,0,3,2,0,4,5,0,0,25,2112,"59013",1,0,1
"176",6037201700,1,11,11,0,0,2,5,1,2,8,0,0,40,6006,"57500",0,0,0
"177",6037203300,1,17,2,0,0,2,4,0,3,7,0,1,36,2082,"31118",1,1,3
"178",6037203710,2,14,4,0,0,0,3,0,0,7,0,1,29,3494,"36037",0,1,1
"179",6037204420,1,53,17,0,0,3,29,1,6,27,0,1,137,3096,"22852",0,1,0
"180",6037204600,1,36,14,0,0,5,17,0,0,16,0,4,92,4322,"34332",0,0,0
"181",6037204700,1,13,7,0,0,0,3,0,0,3,0,2,28,4940,"40083",1,0,0
"182",6037204810,1,17,4,0,0,1,3,0,2,3,0,0,30,4768,"37519",0,1,0
"183",6037205110,1,11,4,0,0,0,9,0,1,10,0,1,36,3994,"41344",0,0,0
"184",6037205120,2,39,20,0,0,2,16,0,8,35,0,2,122,3554,"27326",1,2,1
"185",6037206010,3,7,7,0,0,0,2,0,0,11,0,0,27,3305,"19313",1,1,0
"186",6037206032,5,56,19,0,0,3,27,1,9,36,0,1,152,5501,"31336",1,1,4
"187",6037206050,1,54,41,0,0,4,35,0,11,36,0,1,182,2342,"21700",0,0,0
"188",6037206300,1,14,27,0,0,1,3,0,6,12,0,3,66,5558,"10419",0,0,0
"189",6037207103,1,12,5,0,0,2,5,0,5,5,0,1,35,2367,"23603",0,0,0
